Механика,Психологический_принцип,Влияние_на_удержание,Примеры_в_Telegram
Ежедневные награды,"Привычка, ожидание награды",Высокое - возврат каждый день,Hamster Kombat - ежедневные шифры
Прогрессия/Уровни,"Чувство достижения, мастерства",Очень высокое - долгосрочная цель,Все tap-to-earn игры
Социальные элементы,"Социальная связь, соперничество",Высокое - сообщество удерживает,"DOGS - мем-сообщество, Catizen - PvP"
FOMO (страх упустить),"Дефицит, срочность решений",Среднее - кратковременный эффект,Notcoin - ограниченные предложения
Система достижений,"Завершение задач, коллекционирование",Высокое - мотивация к завершению,"Major - рейтинговые очки, бейджи"
Энергия/Таймеры,"Управление временем, ценность",Среднее - может раздражать,Большинство игр - лимит тапов/дня
Реферальная программа,"Социальное влияние, взаимная выгода",Высокое - органический рост,Практически все проекты
Соревнования/Лидерборды,"Статус, признание, конкуренция",Высокое - соревновательный дух,"X Empire, Hamster Kombat"
Персонализация,"Чувство собственности, идентичность",Среднее - эмоциональная привязанность,Birds - кастомизация питомца
Push-уведомления,"Напоминание, повторное вовлечение",Высокое - возврат неактивных,Стандарт для всех серьезных игр
