Категория,Требования/Возможности,Примечания
Основные технологии,"HTML5, CSS3, JavaScript/TypeScript","Клиентская архитектура, без SSR"
Frontend фреймворки,"React, Vue.js, Angular, Svelte",React наиболее популярен среди разработчиков
Backend (опционально),"Node.js, Python, PHP (любой по выбору)",Не обязателен для простых игр
Telegram API,"Telegram Web App SDK, tma.js/sdk",Встроенная авторизация через Telegram
Ограничения WebView,"Нет поддержки requestFullScreen, проблемы с WebSocket",Градиенты могут отображаться некорректно
Безопасность,"Обязательный HTTPS, проверка initData",Верификация подписи для защиты от подделки
Развертывание,Обязательный SSL сертификат,Можно использовать ngrok для локальной разработки
Тестирование,"Eruda для отладки, тестовый режим Telegram","Поддержка тестирования на iOS, Android, Desktop"
Производительность,"Оптимизация для слабых устройств, минимизация анимаций",WebView работает медленнее браузера
Монетизация,"Встроенные платежи, Telegram Stars, реклама",CPM $2-5 для качественных игр
